,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
1786,United Kingdom,Standard Room,1 night ,December 2020,Family,,,10,Exceptional
1787,United Kingdom,Standard Room,1 night ,January 2021,Solo traveler,,,10,Exceptional
1788,United Kingdom,Superior Room,1 night ,December 2020,Couple,,,10,Exceptional
1789,United Kingdom,Standard Room,1 night ,December 2020,Couple,,,10,Exceptional
1790,United Kingdom,Standard Room,1 night ,December 2020,Family,,,9.0,Wonderful
1791,United Kingdom,Superior Room,1 night ,December 2020,Solo traveler,,,9.0,Wonderful
1792,United Kingdom,Standard Room,1 night ,December 2020,Couple,,,10,Exceptional
1793,United Kingdom,Standard Room,1 night ,December 2020,Solo traveler,,,8.0,Very Good
1794,United Kingdom,Junior Suite,1 night ,November 2020,Couple,,,10,Exceptional
1795,United Kingdom,Standard Room,1 night ,December 2020,Couple,,,10,Exceptional
1796,United Kingdom,Superior Room,1 night ,September 2020,Group,,,10,Exceptional
1797,United Kingdom,Premium Room,1 night ,November 2020,Couple,,,10,Exceptional
1798,United Kingdom,Standard Room,1 night ,November 2020,Family,,,8.0,Very Good
1799,United Kingdom,Standard Room,3 nights ,November 2020,Solo traveler,,,10,Exceptional
1800,United Kingdom,Standard Room,1 night ,November 2020,Couple,,,10,Exceptional
1801,United Kingdom,Standard Room,1 night ,November 2020,Couple,,,10,Exceptional
1802,United Kingdom,Superior Room,1 night ,October 2020,Couple,,,8.0,Very Good
1803,United Kingdom,Premium Room,1 night ,November 2020,Couple,,,9.0,Wonderful
1804,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1805,United Kingdom,Standard Room,1 night ,November 2020,Family,,,10,Exceptional
1806,United Kingdom,Corner Suite,1 night ,October 2020,Couple,,,10,Exceptional
1807,United Kingdom,Standard Room,1 night ,October 2020,Solo traveler,,,9.6,Exceptional
1808,United Kingdom,Junior Suite,1 night ,September 2020,Couple,,,10,Exceptional
1809,United Kingdom,Standard Room,1 night ,October 2020,Solo traveler,,,8.0,Very Good
1810,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
1811,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1812,United Kingdom,Standard Room,1 night ,October 2020,Solo traveler,,,8.0,Very Good
1813,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1814,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1815,United Kingdom,Premium Room,6 nights ,August 2020,Solo traveler,,,9.0,Wonderful
1816,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1817,United Kingdom,Junior Suite,1 night ,September 2020,Couple,,,10,Exceptional
1818,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1819,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1820,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,8.0,Very Good
1821,United Kingdom,Standard Room,1 night ,September 2020,Group,,,10,Exceptional
1822,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1823,United Kingdom,Premium Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1824,United Kingdom,Premium Room,1 night ,October 2020,Couple,,,8.0,Very Good
1825,United Kingdom,Premium Room,1 night ,October 2020,Family,,,10,Exceptional
1826,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1827,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,10,Exceptional
1828,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1829,United Kingdom,Superior Room,1 night ,October 2020,Family,,,10,Exceptional
1830,United Kingdom,Standard Room,1 night ,October 2020,Solo traveler,,,10,Exceptional
1831,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1832,Somalia,Standard Room,1 night ,October 2020,Solo traveler,,,8.0,Very Good
1833,United Kingdom,Standard Room,1 night ,October 2020,Couple,,,10,Exceptional
1834,United Kingdom,Superior Room,2 nights ,October 2020,Group,,,9.0,Wonderful
1835,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler,,,10,Exceptional
1836,United Kingdom,Premium Room,1 night ,October 2020,Solo traveler,,,10,Brilliant stay very helpful staff
1837,United Kingdom,Standard Room,3 nights ,September 2020,Couple,,,8.0,Very Good
1838,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,8.0,Very Good
1839,Falkland Islands (Malvinas),Superior Room,1 night ,October 2020,Solo traveler,,,8.0,Very Good
1840,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1841,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Location was perfect staff whets friendly and the breakfast was amazing
