,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
3837,United Kingdom,Premium Room with Runway View,1 night ,September 2018,Couple," Restaurant staff at breakfast were lovely 😊 I cut my finger on a jar of ketchup, the service staff brought a first aid bag, very discreetly, cleaned the cut and gave me plasters. 
The breakfast choice was fantastic, hot, tasty  and catered for every whim."," We went to the restaurant in the evening, no table was available and we were asked to leave our name and wait in the bar area to be called through, 20/30 minutes later we noticed people just being seated, when we asked he how long the wait would be as we had seen others walk in and be seated, he walked away without an apology or comment and then called across the room for us to follow him to a dark cramped table in the corner. 
There was very little left on the menu that was available, a busy evening we were informed, it was chicken or chicken.
The service given,  by this man alone, spoilt an otherwise perfect stay.",10,"Rather overpriced, £249 for one night but we enjoyed the beautiful room."
3838,United Kingdom,Standard Room,1 night ,September 2018,Solo traveler," Everything,comfortable,clean breakfast variety and lots of it,and the staff were top notch.
Two minute walk to terminal two without going outside"," Nothing,",9.6,Top-notch hotel
3839,United Kingdom,Standard Room,1 night ,September 2018,Group, Everything was perfect, Would have liked it to be cheaper.,10,Lovely place to be before we left for our holiday
3840,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, everything but the price and location of the reception not the best place to be third floor, cost of the room could be cheaper.,8.8,spacey
3841,United Kingdom,Premium Room,1 night ,September 2018,Family," Great staff and an ideal location for Manchester Airport, only a short walk to terminals and plenty of luggage trolleys available. Attentive staff, who were professional.", nothing,10,Lovely hotel in an ideal location
3842,Switzerland,Premium Room,1 night ,September 2018,Group," easy access to Manchester Airport via Skyline (no need to take buses). 
great rooms, no noise at all",,9.2,Wonderful
3843,United Kingdom,Standard Room,1 night ,September 2018,Couple," Nice rooms, everything was clean. Helpful staff.", Expensive bar. 5.50 for a beer and 8.50 for a glass of wine. I can recommend walking to the Airport pub about 20 minutes away for food and drink.,8.8,Excellent
3844,United Kingdom,Standard Room,1 night ,September 2018,Couple, Used many times before and will continue to use on the future,,8.8,Excellent
3845,United Kingdom,Standard Room,1 night ,September 2018,Family, Hotel nr airport, Food & beer expensive,7.5,Nice comfortable hotel
3846,Australia,Superior Room with Runway View,1 night ,September 2018,Family," Lovely, comfortable hotel.  Great big window for my toddler to view the airport goings on."," Expensive, but you do get what you pay for.",10,Exceptional
3847,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple," Quick efficient check in. Huge comfy bed, quiet and great nights sleep.
Breakfast good plenty of choice."," Room nothing.
Breakfast - need to keep eye on hot food needed filling up quicker - not much left in the hot bit for veggies like us.",8.8,Great stay after late flight back from holiday.
3848,Israel,Standard Room,1 night ,September 2018,Family," The staff are nice, attentive and professional",,9.6,Exceptional
3849,United Kingdom,Superior Room with Runway View,2 nights ,September 2018,Group,," We had stayed two nights and wanted to stay another night after finishing our training, however, on phoning reception the hotel had now decided to increase the cost of our room quite substantially so we did not bother and drove home.",8.8,Stayed here with my daughter as we were attending training in this hotel and we were really pleased
3850,Isle of Man,Standard Room,1 night ,September 2018,Family, Proximity to terminals. Ease of checking in and out., Expensive breakfast. Very little option for lunch.,8.3,Very Good
3851,Guernsey,Standard Room,1 night ,September 2018,Couple, Very clean good location saff very helpful will say again, All gooy,10,Very good
3852,United Kingdom,Standard Room,1 night ,September 2018,Couple," Room fine, staff OK", Almost no gluten free food in restaurants and prices were too high.,7.5,"Convenient hotel for flying with good standards, but bring your own food!"
3853,United Kingdom,Standard Room,1 night ,September 2018,Couple," Very comfortable bed, excellent bed linen, very peaceful, high quality facilities within the room."," The weighing scales were not working, informed reception on depature from room 824",9.6,After a tiring journey back to the uk this hotel is our personal Shangrela
